"jornada","jornada_id","id","name","points","jornada_points","teamValue","position","lineup.type","lineup.players_1","lineup.players_2","lineup.players_3","lineup.players_4","lineup.players_5","lineup.players_6","lineup.players_7","lineup.players_8","lineup.players_9","lineup.players_10","lineup.players_11"
11,4494,10089858,"Karlox F.C.",441,67,87550000,2,"3-4-3",11,31707,34111,21068,38867,30789,24474,38355,38289,2009,12526
11,4494,8127478,"Arregui",507,49,112290000,3,"4-4-2",38405,23403,31321,27960,13994,30495,35344,30210,2597,18382,10650
11,4494,6822272,"Ricardo J",405,46,152440000,4,"4-5-1",19192,20,1676,22964,37467,26048,31267,37724,19547,20102,38962
11,4494,6826480,"Víctor Orta",338,36,70040000,5,"4-3-3",9090,11800,32440,38194,38290,19485,4245,32629,38164,9047,32363
11,4494,5684093,"CD Cornisa Azul",358,24,74890000,6,"4-4-2",2184,28012,9557,26276,28087,38449,17057,30477,9763,38308,10276
11,4494,11678835,"Julia",348,34,80020000,7,"4-3-3",17021,18916,26566,26813,1074,19445,9480,21145,35615,33,38216
12,4495,8128710,"Los vengadores",585,55,144970000,1,"3-4-3",4703,31018,10574,33971,18174,31027,38958,31243,26271,19577,38843
12,4495,10089858,"Karlox F.C.",482,41,87550000,2,"3-4-3",11,31707,37715,37723,38867,30789,24474,11686,38289,2009,12526
12,4495,8127478,"Arregui",547,40,112290000,3,"4-5-1",38405,23403,26678,27960,23840,30495,35344,30210,2597,37453,18382
12,4495,6822272,"Ricardo J",431,26,152440000,4,"3-4-3",15430,1676,23572,22964,31267,34483,20102,19547,38962,15568,35770
12,4495,6826480,"Víctor Orta",377,39,70040000,5,"4-3-3",9090,11800,32440,38194,38290,38963,26994,21084,17690,9047,25724
12,4495,5684093,"CD Cornisa Azul",403,45,74890000,6,"5-3-2",2184,28012,31026,26276,28087,1613,38449,30477,9763,38308,10276
12,4495,11678835,"Julia",379,31,80020000,7,"4-3-3",17021,18916,26566,26813,1074,19445,9480,21145,35615,33,37450
13,4496,8128710,"Los vengadores",646,61,144970000,1,"3-4-3",9887,10574,38493,33971,10139,31027,38958,31243,1927,19577,26271
13,4496,10089858,"Karlox F.C.",532,50,87550000,2,"4-4-2",11,31707,33447,35156,20,30789,24474,11686,38867,2009,38289
13,4496,8127478,"Arregui",575,28,112290000,3,"3-4-3",30487,23403,26678,23840,2597,30495,35344,30210,12494,17937,26930
13,4496,6822272,"Ricardo J",464,33,152440000,4,"3-4-3",15430,1676,1721,17731,1876,1249,20102,19547,2603,15568,35770
13,4496,6826480,"Víctor Orta",424,47,70040000,5,"4-3-3",9090,11800,38194,2169,21068,38963,26994,21084,17690,9047,25724
13,4496,5684093,"CD Cornisa Azul",427,24,74890000,6,"5-3-2",2184,28012,9557,26276,28087,1613,32338,30477,17057,38308,10276
13,4496,11678835,"Julia",415,36,80020000,7,"4-3-3",17021,18916,26566,31043,1074,19445,9480,1733,35615,33,37450
14,4497,8128710,"Los vengadores",688,42,144970000,1,"4-3-3",257,10574,38493,33971,26813,31027,10139,38390,1927,19577,26271
14,4497,10089858,"Karlox F.C.",590,58,87550000,2,"4-4-2",11,31707,33447,15462,20,30789,24474,3259,38867,2009,38289
14,4497,8127478,"Arregui",637,62,112290000,3,"4-3-3",30487,23403,26678,23840,27960,30495,2597,30210,12494,17937,26930
14,4497,6822272,"Ricardo J",500,36,152440000,4,"3-4-3",15430,1676,1721,37499,26068,1876,20102,19547,91,15568,20969
14,4497,6826480,"Víctor Orta",464,40,70040000,5,"4-3-3",9090,11800,38290,2169,21068,38963,26994,21084,38964,9047,25724
14,4497,5684093,"CD Cornisa Azul",453,26,74890000,6,"4-3-3",2184,28012,31026,26276,28087,38449,32338,30477,10745,38308,10276
14,4497,11678835,"Julia",443,28,80020000,7,"4-3-3",17021,18916,26566,31043,1074,19445,9480,1733,35615,33,37450
15,4498,8128710,"Los vengadores",756,23,144970000,1,"4-4-2",257,10574,19614,1908,33971,31027,10139,31243,24979,19577,26271
15,4498,10089858,"Karlox F.C.",682,38,87550000,2,"4-4-2",11,31707,33447,15462,20,30789,34077,3259,27591,2009,38289
15,4498,8127478,"Arregui",705,56,112290000,3,"4-3-3",30487,23403,2635,23840,27960,30495,2597,26048,12494,12526,26930
15,4498,6822272,"Ricardo J",578,32,152440000,4,"3-4-3",15430,2253,1721,17731,26068,1876,20102,15471,2001,15568,21008
15,4498,6826480,"Víctor Orta",543,40,70040000,5,"4-3-3",9090,11800,38290,2169,21068,37724,38963,21084,17690,9047,25724
15,4498,5684093,"CD Cornisa Azul",536,31,74890000,6,"4-3-3",2184,28012,31026,26276,1613,38449,32338,30477,10745,35606,10276
