round_order,round_id,round_name,round_short,round_part,round_status,user_id,user_name,user_icon,total_points_after_round,team_value,team_value_increment,league_position,lineup_type,lineup_points,lineup_position,lineup_date,lineup_date_iso,lineup_count,bonus_point,bonus_fixed,total_points_before_round
18,4499,Jornada 16,J16,,finished,10089858,Karlox F.C.,icons/7.png,726,91370000,-770000,2,3-5-2,44,3,1765441293,2025-12-11T08:21:33+00:00,True,700000,500000,682
18,4499,Jornada 16,J16,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,750,102410000,-890000,3,4-3-3,45,2,1765448250,2025-12-11T10:17:30+00:00,True,560000,500000,705
18,4499,Jornada 16,J16,,finished,6822272,Ricardo J,,608,157450000,-1960000,4,4-3-3,30,6,1765563673,2025-12-12T18:21:13+00:00,True,860000,500000,578
18,4499,Jornada 16,J16,,finished,6826480,Víctor Orta,i/u/6826480.png,603,87480000,-350000,5,4-3-3,60,1,1764956223,2025-12-05T17:37:03+00:00,True,400000,500000,543
18,4499,Jornada 16,J16,,finished,5684093,CD Cornisa Azul,icons/42.png,573,78730000,-540000,6,3-5-2,37,5,1765566222,2025-12-12T19:03:42+00:00,True,760000,500000,536
18,4499,Jornada 16,J16,,finished,11678835,Julia,https://graph.facebook.com/10218096465979952/picture?height=300&width=300,563,78670000,-620000,7,3-4-3,22,7,1764571813,2025-12-01T06:50:13+00:00,True,1160000,500000,541
19,4500,Jornada 17,J17,,finished,8128710,Los vengadores,icons/11.png,837,138560000,-950000,1,4-3-3,44,4,1766093944,2025-12-18T21:39:04+00:00,True,880000,500000,793
19,4500,Jornada 17,J17,,finished,10089858,Karlox F.C.,icons/7.png,770,91370000,-770000,2,3-5-2,44,5,1766036370,2025-12-18T05:39:30+00:00,True,940000,500000,726
19,4500,Jornada 17,J17,,finished,8127478,Arregui,https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c,808,102410000,-890000,3,4-3-3,58,1,1766130708,2025-12-19T07:51:48+00:00,True,740000,500000,750
19,4500,Jornada 17,J17,,finished,6822272,Ricardo J,,655,157450000,-1960000,4,4-3-3,47,3,1766164005,2025-12-19T17:06:45+00:00,True,880000,500000,608
19,4500,Jornada 17,J17,,finished,6826480,Víctor Orta,i/u/6826480.png,660,87480000,-350000,5,4-3-3,57,2,1766163593,2025-12-19T16:59:53+00:00,True,840000,500000,603
19,4500,Jornada 17,J17,,finished,5684093,CD Cornisa Azul,icons/42.png,615,78730000,-540000,6,3-4-3,42,6,1766075343,2025-12-18T16:29:03+00:00,True,1140000,500000,573
