id,name,slug,teamID,position,price,fantasyPrice,number,status,priceIncrement,playedHome,playedAway,points,pointsHome,pointsAway,pointsLastSeason,fitness_json,iconHero,altPositions,statusInfo,statusChange
38189,Pétrot,leo-petrot,75,2,350000,8000000,21,ok,-10000,16,16,48,36,12,,"[0,null,-8,null,null]",,[3],,
26945,Lewandowski,lewandowski,3,4,8560000,41000000,9,ok,-190000,15,16,148,64,84,229,"[9,10,-2,2,13]",i/p/hero/26945.png,,,
34717,Logan Costa,logan-costa,19,2,150000,13000000,2,ok,0,1,1,2,2,0,110,"[2,0,null,null,null]",,,,
39941,Lookman,lookman,2,4,8030000,34000000,22,ok,-180000,6,6,32,18,14,,"[2,9,5,2,null]",,[3],,
10650,Losada,losada,10,4,430000,8000000,18,ok,-10000,11,12,51,24,27,37,"[2,2,2,null,2]",,[3],,
38957,Lucas Beltrán,lucas-beltran,18,4,300000,17000000,15,ok,0,12,15,62,36,26,,"[null,""doubt"",""doubt"",""doubt"",""doubt""]",,[3],,
12494,Boyé,lucas-boye,91,4,2410000,9000000,15,ok,-40000,15,14,142,86,56,,"[2,2,""doubt"",""doubt"",""doubt""]",,,,
39874,Lucas Cepeda,lucas-cepeda,75,4,150000,9000000,24,ok,0,6,4,19,17,2,,"[null,0,null,null,0]",,[3],,
19485,Torró,lucas-torro,93,3,1200000,16000000,6,ok,-20000,17,17,114,72,42,150,"[2,2,6,2,2]",,,,
32338,Agoumé,lucien-agoume,17,3,1840000,11000000,18,ok,-40000,17,17,108,46,62,76,"[2,2,2,-2,2]",,,,
39398,Luis Castro,luis-castro,10,5,210000,7000000,0,ok,0,12,10,32,24,8,,"[0,3,3,3,0]",,,,
21854,Luis García,luis-garcia,17,5,300000,8000000,0,ok,0,4,5,12,9,3,14,"[0,0,3,3,3]",,,,
19445,Luis Milla,luis-milla,8,3,11790000,19000000,5,ok,-200000,18,19,204,116,88,153,"[14,2,10,6,6]",,,,
17442,Rioja,luis-rioja,18,4,2820000,17000000,11,ok,-60000,19,18,139,76,63,141,"[9,2,2,2,-2]",,[3],,
39836,Luis Vázquez,luis-vazquez,8,4,1290000,10000000,19,ok,0,8,9,67,35,32,,"[2,2,null,2,6]",,,,
