board_index,content_index,type,date,date_iso,fixed,title,author_id,author_name,player_id,amount,from_user_id,from_user_name,to_user_id,to_user_name,content_json
350,1,transfer,1761546760,2025-10-27T06:32:40+00:00,False,,,,2031,782500,6822272,Ricardo J,,,"{""player"":2031,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":782500}"
351,0,market,1761545463,2025-10-27T06:11:03+00:00,False,,,,1083,3978000,,,8128710,Los vengadores,"{""player"":1083,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3978000}"
351,1,market,1761545463,2025-10-27T06:11:03+00:00,False,,,,15430,6555000,,,6822272,Ricardo J,"{""player"":15430,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":6555000,""bids"":[{""user"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":6290000}]}"
351,2,market,1761545463,2025-10-27T06:11:03+00:00,False,,,,19192,3450000,,,6822272,Ricardo J,"{""player"":19192,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3450000}"
351,3,market,1761545463,2025-10-27T06:11:03+00:00,False,,,,1871,190000,,,8128710,Los vengadores,"{""player"":1871,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":190000}"
352,0,transfer,1761471972,2025-10-26T09:46:12+00:00,False,,,,1309,150000,8128710,Los vengadores,,,"{""player"":1309,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":150000}"
352,1,transfer,1761471972,2025-10-26T09:46:12+00:00,False,,,,24509,5450500,8128710,Los vengadores,,,"{""player"":24509,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":5450500}"
353,0,transfer,1761463095,2025-10-26T07:18:15+00:00,False,,,,33970,1827800,5684093,CD Cornisa Azul,,,"{""player"":33970,""from"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":1827800}"
354,0,market,1761458837,2025-10-26T06:07:17+00:00,False,,,,37495,7518000,,,8128710,Los vengadores,"{""player"":37495,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":7518000}"
354,1,market,1761458837,2025-10-26T06:07:17+00:00,False,,,,26276,3866000,,,5684093,CD Cornisa Azul,"{""player"":26276,""to"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":3866000,""bids"":[{""user"":{""id"":10089858,""name"":""Karlox F.C."",""icon"":""icons/7.png""},""amount"":3333333},{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3218000}]}"
354,2,market,1761458837,2025-10-26T06:07:17+00:00,False,,,,25778,955555,,,10089858,Karlox F.C.,"{""player"":25778,""to"":{""id"":10089858,""name"":""Karlox F.C."",""icon"":""icons/7.png""},""amount"":955555,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":938000}]}"
354,3,market,1761458837,2025-10-26T06:07:17+00:00,False,,,,28087,3432000,,,5684093,CD Cornisa Azul,"{""player"":28087,""to"":{""id"":5684093,""name"":""CD Cornisa Azul"",""icon"":""icons/42.png""},""amount"":3432000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3140000}]}"
354,4,market,1761458837,2025-10-26T06:07:17+00:00,False,,,,26095,1378000,,,8128710,Los vengadores,"{""player"":26095,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1378000,""bids"":[{""user"":{""id"":6822272,""name"":""Ricardo J""},""amount"":1375000}]}"
355,0,transfer,1761406450,2025-10-25T15:34:10+00:00,False,,,,37898,986300,6822272,Ricardo J,,,"{""player"":37898,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":986300}"
355,1,transfer,1761406450,2025-10-25T15:34:10+00:00,False,,,,2602,6324900,6822272,Ricardo J,,,"{""player"":2602,""from"":{""id"":6822272,""name"":""Ricardo J""},""amount"":6324900}"
356,0,transfer,1761403781,2025-10-25T14:49:41+00:00,False,,,,1780,826300,6826480,Víctor Orta,,,"{""player"":1780,""from"":{""id"":6826480,""name"":""Víctor Orta"",""icon"":""i/u/6826480.png""},""amount"":826300}"
357,0,transfer,1761386998,2025-10-25T10:09:58+00:00,False,,,,17344,3173600,8128710,Los vengadores,,,"{""player"":17344,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3173600}"
358,0,market,1761368807,2025-10-25T05:06:47+00:00,False,,,,27715,682000,,,8128710,Los vengadores,"{""player"":27715,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":682000}"
358,1,market,1761368807,2025-10-25T05:06:47+00:00,False,,,,37466,390000,,,8128710,Los vengadores,"{""player"":37466,""to"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":390000}"
359,0,transfer,1761321860,2025-10-24T16:04:20+00:00,False,,,,20969,4417400,8128710,Los vengadores,,,"{""player"":20969,""from"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":4417400}"
360,0,transfer,1761283915,2025-10-24T05:31:55+00:00,False,,,,38143,1995400,8127478,Arregui,,,"{""player"":38143,""from"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":1995400}"
361,0,market,1761282582,2025-10-24T05:09:42+00:00,False,,,,31321,900000,,,8127478,Arregui,"{""player"":31321,""to"":{""id"":8127478,""name"":""Arregui"",""icon"":""https://lh3.googleusercontent.com/a/AItbvmlJOQCrYJFKsWPDYSjpqt1A7kAZJUhj-ZkmC-6Q=s300-c""},""amount"":900000}"
361,1,market,1761282582,2025-10-24T05:09:42+00:00,False,,,,35901,3860000,,,6822272,Ricardo J,"{""player"":35901,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":3860000,""bids"":[{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":3670000}]}"
361,2,market,1761282582,2025-10-24T05:09:42+00:00,False,,,,38369,2210000,,,6822272,Ricardo J,"{""player"":38369,""to"":{""id"":6822272,""name"":""Ricardo J""},""amount"":2210000,""bids"":[{""user"":{""id"":6826480,""name"":""Víctor Orta"",""icon"":""i/u/6826480.png""},""amount"":1890000},{""user"":{""id"":8128710,""name"":""Los vengadores"",""icon"":""icons/11.png""},""amount"":1880000}]}"
