date,date_iso,round_id,round_name,score_id,user_id,user_name,points,bonus,reason_bonusPoint,reason_bonusFixed,reason_json,reason_bonusRoundPosition
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,6826480,Víctor Orta,34,2320000,820000,500000,"{""bonusPoint"":820000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,6822272,Ricardo J,28,2790000,1040000,500000,"{""bonusPoint"":1040000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1772554073,2026-03-03T16:07:53+00:00,4509,Jornada 26,1,8127478,Arregui,25,3260000,1260000,500000,"{""bonusPoint"":1260000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,5684093,CD Cornisa Azul,56,920000,420000,500000,"{""bonusPoint"":420000,""bonusFixed"":500000}",
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,8128710,Los vengadores,50,1390000,640000,500000,"{""bonusPoint"":640000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,6822272,Ricardo J,49,1860000,860000,500000,"{""bonusPoint"":860000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,10089858,Karlox F.C.,49,2230000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,6826480,Víctor Orta,43,2480000,980000,500000,"{""bonusPoint"":980000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,8127478,Arregui,32,2750000,1000000,500000,"{""bonusPoint"":1000000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1771949321,2026-02-24T16:08:41+00:00,4508,Jornada 25,1,11678835,Julia,21,3120000,1120000,500000,"{""bonusPoint"":1120000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,6826480,Víctor Orta,60,940000,440000,500000,"{""bonusPoint"":440000,""bonusFixed"":500000}",
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,8127478,Arregui,45,1350000,600000,500000,"{""bonusPoint"":600000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,10089858,Karlox F.C.,44,1740000,740000,500000,"{""bonusPoint"":740000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,8128710,Los vengadores,37,1990000,740000,500000,"{""bonusPoint"":740000,""bonusFixed"":500000,""bonusRoundPosition"":750000}",750000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,5684093,CD Cornisa Azul,37,2380000,880000,500000,"{""bonusPoint"":880000,""bonusFixed"":500000,""bonusRoundPosition"":1000000}",1000000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,6822272,Ricardo J,30,2650000,900000,500000,"{""bonusPoint"":900000,""bonusFixed"":500000,""bonusRoundPosition"":1250000}",1250000
1771517272,2026-02-19T16:07:52+00:00,4801,Jornada 16 (aplazada),1,11678835,Julia,22,3200000,1200000,500000,"{""bonusPoint"":1200000,""bonusFixed"":500000,""bonusRoundPosition"":1500000}",1500000
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,10089858,Karlox F.C.,52,740000,240000,500000,"{""bonusPoint"":240000,""bonusFixed"":500000}",
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,8127478,Arregui,49,1490000,740000,500000,"{""bonusPoint"":740000,""bonusFixed"":500000,""bonusRoundPosition"":250000}",250000
1771344231,2026-02-17T16:03:51+00:00,4507,Jornada 24,1,5684093,CD Cornisa Azul,46,1840000,840000,500000,"{""bonusPoint"":840000,""bonusFixed"":500000,""bonusRoundPosition"":500000}",500000
