player_id,player_name,player_slug,owner_user_id,owner_user_name,acquired_date,acquired_date_iso,acquired_amount,acquired_type,sold_date,sold_date_iso,sold_to_user_id,sold_to_user_name
30487,Álvaro Valles,alvaro-valles,8127478,Arregui,1763100464,2025-11-14T06:07:44+00:00,1770000,market,1772691079,2026-03-05T06:11:19+00:00,6822272,Ricardo J
30487,Álvaro Valles,alvaro-valles,6822272,Ricardo J,1772691079,2026-03-05T06:11:19+00:00,2525000,market,,,,
1683,Carvajal,carvajal,8128710,Los vengadores,1764828394,2025-12-04T06:06:34+00:00,1790000,market,1772691079,2026-03-05T06:11:19+00:00,6822272,Ricardo J
1683,Carvajal,carvajal,6822272,Ricardo J,1772691079,2026-03-05T06:11:19+00:00,2350000,market,,,,
1523,Iago Aspas,iago-aspas,6822272,Ricardo J,1765260532,2025-12-09T06:08:52+00:00,3625700,market,1772691079,2026-03-05T06:11:19+00:00,6822272,Ricardo J
1523,Iago Aspas,iago-aspas,6822272,Ricardo J,1772691079,2026-03-05T06:11:19+00:00,2900007,market,,,,
26945,Lewandowski,lewandowski,6822272,Ricardo J,1772691079,2026-03-05T06:11:19+00:00,12100000,market,,,,
19441,Pedri,pedri,6822272,Ricardo J,1759899923,2025-10-08T05:05:23+00:00,18510000,market,1772604255,2026-03-04T06:04:15+00:00,8128710,Los vengadores
19441,Pedri,pedri,8128710,Los vengadores,1772604255,2026-03-04T06:04:15+00:00,34347290,market,,,,
17690,,,6826480,Víctor Orta,1762495580,2025-11-07T06:06:20+00:00,1660000,market,1772431860,2026-03-02T06:11:00+00:00,11678835,Julia
17690,,,11678835,Julia,1772431860,2026-03-02T06:11:00+00:00,4150000,market,,,,
26697,,,8128710,Los vengadores,1755234532,2025-08-15T05:08:52+00:00,630000,market,1772431860,2026-03-02T06:11:00+00:00,6826480,Víctor Orta
26697,,,6826480,Víctor Orta,1772431860,2026-03-02T06:11:00+00:00,1700000,market,,,,
30787,,,6826480,Víctor Orta,1772431860,2026-03-02T06:11:00+00:00,3520000,market,,,,
18945,Koundé,jules-kounde,8127478,Arregui,1764914666,2025-12-05T06:04:26+00:00,6750000,market,1772345108,2026-03-01T06:05:08+00:00,6826480,Víctor Orta
